"","_id","bonusPointsEarned","bonusPointsEarnedReason","createDate","dateScanned","finishedDate","modifyDate","pointsAwardedDate","pointsEarned...9","purchaseDate","purchasedItemCount","barcode","description","finalPrice","itemPrice","needsFetchReview","partnerItemId","preventTargetGapPoints","quantityPurchased","userFlaggedBarcode","userFlaggedNewItem","userFlaggedPrice","userFlaggedQuantity","needsFetchReviewReason","pointsNotAwardedReason","pointsPayerId","rewardsGroup","rewardsProductPartnerId","userFlaggedDescription","originalMetaBriteBarcode","originalMetaBriteDescription","brandCode","competitorRewardsGroup","discountedItemPrice","originalReceiptItemText","itemNumber","originalMetaBriteQuantityPurchased","pointsEarned...38","targetPrice","competitiveProduct","originalFinalPrice","originalMetaBriteItemPrice","deleted","priceAfterCoupon","metabriteCampaignId","rewardsReceiptStatus","totalSpent","userId"
"6098","6012e66c0a720f05f800004d",NA,NA,2021-01-28 10:29:32,2021-01-28 10:29:32,2021-01-28 10:29:33,2021-01-28 10:29:33,2021-01-28 10:29:33,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"1",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6099","6012e66c0a720f05f800004d",NA,NA,2021-01-28 10:29:32,2021-01-28 10:29:32,2021-01-28 10:29:33,2021-01-28 10:29:33,2021-01-28 10:29:33,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"2",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6100","6012e66c0a720f05f800004d",NA,NA,2021-01-28 10:29:32,2021-01-28 10:29:32,2021-01-28 10:29:33,2021-01-28 10:29:33,2021-01-28 10:29:33,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"3",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6101","6012e65b0a720f05f800003d",NA,NA,2021-01-28 10:29:15,2021-01-28 10:29:15,2021-01-28 10:29:16,2021-01-28 10:29:16,2021-01-28 10:29:16,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"0",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6102","6012e65b0a720f05f800003d",NA,NA,2021-01-28 10:29:15,2021-01-28 10:29:15,2021-01-28 10:29:16,2021-01-28 10:29:16,2021-01-28 10:29:16,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"1",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6103","6012e65b0a720f05f800003d",NA,NA,2021-01-28 10:29:15,2021-01-28 10:29:15,2021-01-28 10:29:16,2021-01-28 10:29:16,2021-01-28 10:29:16,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"2",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6104","6012e65b0a720f05f800003d",NA,NA,2021-01-28 10:29:15,2021-01-28 10:29:15,2021-01-28 10:29:16,2021-01-28 10:29:16,2021-01-28 10:29:16,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"3",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6105","6013410c0a7214ad5000002a",NA,NA,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"0",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6106","6013410c0a7214ad5000002a",NA,NA,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"1",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
"6107","6013410c0a7214ad5000002a",NA,NA,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,2021-01-28 16:56:12,"840.0",2021-01-27 18:00:00,4,"036000320893","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","21.00","21.00",NA,"2",NA,1,NA,NA,NA,NA,NA,NA,"550b2565e4b001d5e9e4146f","HUGGIES ONE AND DONE SIMPLY CLEAN BABY WIPES 200 COUNT OR LARGER","550b2565e4b001d5e9e4146f",NA,NA,NA,NA,NA,"21.00","HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT","4023",NA,"210.0",NA,NA,NA,NA,NA,NA,NA,"FINISHED","84.00","5fa41775898c7a11a6bcef3e"
